t,x
1.560780390195097697e-05,5.873603478658839346e-32
1.561780890445222655e-05,8.928992878601703407e-32
1.562781390695347614e-05,9.843563156920543789e-32
1.563781890945472911e-05,9.280057305286099763e-32
1.564782391195597869e-05,7.836895189977329127e-32
1.565782891445722827e-05,6.001401886600839026e-32
1.566783391695848125e-05,4.132033810232897847e-32
1.567783891945973083e-05,2.461966881133727238e-32
1.568784392196098041e-05,1.116291575994183755e-32
1.569784892446223339e-05,1.360102687707748049e-33
1.570785392696348297e-05,-4.964572962993286280e-33
1.571785892946473255e-05,-8.338882668280939729e-33
1.572786393196598553e-05,-9.450748702379252741e-33
1.573786893446723511e-05,-9.006696593181534571e-33
1.574787393696848469e-05,-7.639658153387719280e-33
1.575787893946973428e-05,-5.859452089981840509e-33
1.576788394197098725e-05,-4.036426038166948591e-33
1.577788894447223683e-05,-2.408119128223094049e-33
1.578789394697348642e-05,-1.099670949155756692e-33
1.579789894947473939e-05,-1.504077587187980147e-34
1.580790395197598897e-05,4.589412724618137863e-34
1.581790895447723856e-05,7.819764155565263128e-34
1.582791395697849153e-05,8.871990631757077129e-34
1.583791895947974111e-05,8.440142167611210364e-34
1.584792396198099070e-05,7.138636949308433584e-34
1.585792896448224367e-05,5.456666466684337790e-34
1.586793396698349325e-05,3.745176697341433667e-34
1.587793896948474283e-05,2.225814609352619528e-34
1.588794397198599242e-05,1.012478479740365220e-34
1.589794897448724539e-05,1.380581007042438516e-35
1.590795397698849497e-05,-4.189075887007328880e-35
1.591795897948974456e-05,-7.109329257542214621e-35
1.592796398199099753e-05,-8.032716375418756688e-35
1.593796898449224711e-05,-7.609764627153466791e-35
1.594797398699349670e-05,-6.409048448848388317e-35
1.595797898949474967e-05,-4.877880685444540394e-35
1.596798399199599925e-05,-3.333085765658003591e-35
1.597798899449724884e-05,-1.971550599921107320e-35
1.598799399699850181e-05,-8.916942489144356886e-36
1.599799899949975139e-05,-1.190043720620187197e-36
1.600800400200100098e-05,3.691081326661594306e-36
1.601800900450225056e-05,6.219862582575020851e-36
1.602801400700350353e-05,6.992530058944207033e-36
1.603801900950475312e-05,6.593905829322848870e-36
1.604802401200600270e-05,5.528635649437389886e-36
1.605802901450725567e-05,4.189008740214226302e-36
1.606803401700850525e-05,2.849311217120519632e-36
1.607803901950975484e-05,1.677185788362555172e-36
1.608804402201100781e-05,7.539977139726582514e-37
1.609804902451225739e-05,9.815738861126895471e-38
1.610805402701350698e-05,-3.126862965647445784e-37
1.611805902951475995e-05,-5.229444962947129198e-37
1.612806403201600953e-05,-5.848848446538624403e-37
1.613806903451725912e-05,-5.489723510394087474e-37
1.614807403701850870e-05,-4.582075933647931648e-37
1.615807903951976167e-05,-3.456210169395875202e-37
1.616808404202101126e-05,-2.340091611041230454e-37
1.617808904452226084e-05,-1.370702638490717341e-37
1.618809404702351381e-05,-6.124765782764397441e-38
1.619809904952476340e-05,-7.769573336375259542e-39
1.620810405202601298e-05,2.545097620496211250e-38
1.621810905452726595e-05,4.224298970224888085e-38
1.622811405702851554e-05,4.700282437970747899e-38
1.623811905952976512e-05,4.391088897778458949e-38
1.624812406203101809e-05,3.648533949651401076e-38
1.625812906453226767e-05,2.739675631112870838e-38
1.626813406703351726e-05,1.846436284399255213e-38
1.627813906953476684e-05,1.076245481777147246e-38
1.628814407203601981e-05,4.779771975907898369e-39
1.629814907453726940e-05,5.904096988615624747e-40
1.630815407703851898e-05,-1.990215302303015018e-39
1.631815907953977195e-05,-3.278409166853175331e-39
1.632816408204102154e-05,-3.629006790128965369e-39
1.633816908454227112e-05,-3.374459688787892950e-39
1.634817408704352409e-05,-2.791159156306128555e-39
1.635817908954477368e-05,-2.086449928228331584e-39
1.636818409204602326e-05,-1.399732593036462535e-39
1.637818909454727623e-05,-8.118716803076624990e-40
1.638819409704852582e-05,-3.583662538683694741e-40
1.639819909954977540e-05,-4.307245796713731756e-41
1.640820410205102498e-05,1.495169857318269311e-40
1.641820910455227796e-05,2.444438460744368526e-40
