t f_inst
1.423711855927964000e-05 2.846971500000000000e+06
1.424712356178089128e-05 2.846971500000000000e+06
1.425712856428214255e-05 2.846971500000000000e+06
1.426713356678339214e-05 2.846971500000000000e+06
1.427713856928464341e-05 2.846971500000000000e+06
1.428714357178589469e-05 2.846971500000000000e+06
1.429714857428714428e-05 2.846971500000000000e+06
1.430715357678839555e-05 2.846971500000000000e+06
1.431715857928964514e-05 2.846971500000000000e+06
1.432716358179089642e-05 2.846971500000000000e+06
1.433716858429214769e-05 2.846971500000000000e+06
1.434717358679339728e-05 2.846971500000000000e+06
1.435717858929464855e-05 2.846971500000000000e+06
1.436718359179589814e-05 2.846971500000000000e+06
1.437718859429714942e-05 2.846971500000000000e+06
1.438719359679840069e-05 2.846971500000000000e+06
1.439719859929965028e-05 2.846971500000000000e+06
1.440720360180090156e-05 2.846971500000000000e+06
1.441720860430215283e-05 2.846971500000000000e+06
1.442721360680340242e-05 2.846971500000000000e+06
1.443721860930465370e-05 2.846971500000000000e+06
1.444722361180590328e-05 2.846971500000000000e+06
1.445722861430715456e-05 2.846971500000000000e+06
1.446723361680840583e-05 2.846971500000000000e+06
1.447723861930965542e-05 2.846971500000000000e+06
1.448724362181090670e-05 2.846971500000000000e+06
1.449724862431215628e-05 2.846971500000000000e+06
1.450725362681340756e-05 2.846971500000000000e+06
1.451725862931465884e-05 2.846971500000000000e+06
1.452726363181590842e-05 2.846971500000000000e+06
1.453726863431715970e-05 2.846971500000000000e+06
1.454727363681841098e-05 2.846971500000000000e+06
1.455727863931966056e-05 2.846971500000000000e+06
1.456728364182091184e-05 2.846971500000000000e+06
1.457728864432216142e-05 2.846971500000000000e+06
1.458729364682341270e-05 2.846971500000000000e+06
1.459729864932466398e-05 2.846971500000000000e+06
1.460730365182591356e-05 2.846971500000000000e+06
1.461730865432716484e-05 2.846971500000000000e+06
1.462731365682841442e-05 2.846971500000000000e+06
1.463731865932966570e-05 2.846971500000000000e+06
1.464732366183091698e-05 2.846971500000000000e+06
1.465732866433216656e-05 2.846971500000000000e+06
1.466733366683341784e-05 2.846971500000000000e+06
1.467733866933466912e-05 2.846971500000000000e+06
1.468734367183591870e-05 2.846971500000000000e+06
1.469734867433716998e-05 2.846971500000000000e+06
1.470735367683841956e-05 2.846971500000000000e+06
1.471735867933967084e-05 2.846971500000000000e+06
1.472736368184092212e-05 2.846971500000000000e+06
1.473736868434217170e-05 2.846971500000000000e+06
1.474737368684342298e-05 2.846971500000000000e+06
1.475737868934467256e-05 2.846971500000000000e+06
1.476738369184592384e-05 2.846971500000000000e+06
1.477738869434717512e-05 2.846971500000000000e+06
1.478739369684842470e-05 2.846971500000000000e+06
1.479739869934967598e-05 2.846971500000000000e+06
1.480740370185092726e-05 2.846971500000000000e+06
1.481740870435217684e-05 2.846971500000000000e+06
1.482741370685342812e-05 2.785966750000000000e+06
1.483741870935467770e-05 2.785966750000000000e+06
1.484742371185592898e-05 2.785966750000000000e+06
1.485742871435718026e-05 2.785966750000000000e+06
1.486743371685842984e-05 2.785966750000000000e+06
1.487743871935968112e-05 2.785966750000000000e+06
1.488744372186093070e-05 2.785966750000000000e+06
1.489744872436218198e-05 2.785966750000000000e+06
1.490745372686343326e-05 2.785966750000000000e+06
1.491745872936468284e-05 2.785966750000000000e+06
1.492746373186593412e-05 2.785966750000000000e+06
1.493746873436718540e-05 2.785966750000000000e+06
1.494747373686843498e-05 2.785966750000000000e+06
1.495747873936968626e-05 2.785966750000000000e+06
1.496748374187093584e-05 2.785966750000000000e+06
1.497748874437218712e-05 2.785966750000000000e+06
1.498749374687343840e-05 2.785966750000000000e+06
1.499749874937468798e-05 2.785966750000000000e+06
1.500750375187593926e-05 2.785966750000000000e+06
1.501750875437718885e-05 2.785966750000000000e+06
1.502751375687844012e-05 2.785966750000000000e+06
1.503751875937969140e-05 2.785966750000000000e+06
1.504752376188094099e-05 2.785966750000000000e+06
1.505752876438219226e-05 2.785966750000000000e+06
1.506753376688344354e-05 2.785966750000000000e+06
1.507753876938469312e-05 2.785966750000000000e+06
1.508754377188594440e-05 2.785966750000000000e+06
