Time(s), Amplitude
0.0154800, 0.5877853
0.0155000, -0.0000000
0.0155200, -0.5877853
0.0155400, -0.9510565
0.0155600, -0.9510565
0.0155800, -0.5877853
0.0156000, 0.0000000
0.0156200, 0.5877853
0.0156400, 0.9510565
0.0156600, 0.9510565
0.0156800, 0.5877853
0.0157000, -0.0000000
0.0157200, -0.5877853
0.0157400, -0.9510565
0.0157600, -0.9510565
0.0157800, -0.5877853
0.0158000, 0.0000000
0.0158200, 0.5877853
0.0158400, 0.9510565
0.0158600, 0.9510565
0.0158800, 0.5877853
0.0159000, -0.0000000
0.0159200, -0.5877853
0.0159400, -0.9510565
0.0159600, -0.9510565
0.0159800, -0.5877853
0.0160000, -0.0000000
0.0160200, 0.5877853
0.0160400, 0.9510565
0.0160600, 0.9510565
0.0160800, 0.5877853
0.0161000, 0.0000000
0.0161200, -0.5877853
0.0161400, -0.9510565
0.0161600, -0.9510565
0.0161800, -0.5877853
0.0162000, 0.0000000
0.0162200, 0.5877853
0.0162400, 0.9510565
0.0162600, 0.9510565
0.0162800, 0.5877853
0.0163000, -0.0000000
0.0163200, -0.5877853
0.0163400, -0.9510565
0.0163600, -0.9510565
0.0163800, -0.5877853
0.0164000, 0.0000000
0.0164200, 0.5877853
0.0164400, 0.9510565
0.0164600, 0.9510565
0.0164800, 0.5877853
0.0165000, -0.0000000
0.0165200, -0.5877853
0.0165400, -0.9510565
0.0165600, -0.9510565
0.0165800, -0.5877853
0.0166000, 0.0000000
0.0166200, 0.5877853
0.0166400, 0.9510565
0.0166600, 0.9510565
0.0166800, 0.5877853
0.0167000, -0.0000000
0.0167200, -0.5877853
0.0167400, -0.9510565
0.0167600, -0.9510565
0.0167800, -0.5877853
0.0168000, 0.0000000
0.0168200, 0.5877853
0.0168400, 0.9510565
0.0168600, 0.9510565
0.0168800, 0.5877853
0.0169000, 0.0000000
0.0169200, -0.5877853
0.0169400, -0.9510565
0.0169600, -0.9510565
0.0169800, -0.5877853
0.0170000, -0.0000000
0.0170200, 0.5877853
0.0170400, 0.9510565
0.0170600, 0.9510565
0.0170800, 0.5877853
0.0171000, 0.0000000
0.0171200, -0.5877853
0.0171400, -0.9510565
0.0171600, -0.9510565
0.0171800, -0.5877853
0.0172000, -0.0000000
0.0172200, 0.5877853
0.0172400, 0.9510565
0.0172600, 0.9510565
0.0172800, 0.5877853
0.0173000, -0.0000000
0.0173200, -0.5877853
0.0173400, -0.9510565
0.0173600, -0.9510565
0.0173800, -0.5877853
0.0174000, 0.0000000
0.0174200, 0.5877853
0.0174400, 0.9510565
0.0174600, 0.9510565
0.0174800, 0.5877853
0.0175000, -0.0000000
0.0175200, -0.5877853
0.0175400, -0.9510565
0.0175600, -0.9510565
0.0175800, -0.5877853
0.0176000, 0.0000000
0.0176200, 0.5877853
0.0176400, 0.9510565
0.0176600, 0.9510565
0.0176800, 0.5877853
0.0177000, -0.0000000
0.0177200, -0.5877853
0.0177400, -0.9510565
0.0177600, -0.9510565
0.0177800, -0.5877853
0.0178000, 0.0000000
0.0178200, 0.5877853
0.0178400, 0.9510565
0.0178600, 0.9510565
0.0178800, 0.5877853
0.0179000, -0.0000000
0.0179200, -0.5877853
0.0179400, -0.9510565
0.0179600, -0.9510565
0.0179800, -0.5877853
0.0180000, 0.0000000
